NO,FROMNODENO,TONODENO,ID,DXD,FLAG,TJL,FS,TRAFFIC
3860,3269,3268,4075,1,0,4,53.1,"B,C,W"
3808,3440,3236,9844,1,0,4,45.5,"B,C,W"
3732,3286,3403,3941,1,0,3,57.2,"B,C,W"
3679,3360,3269,3884,1,0,4,54.9,"B,C,W"
3597,3287,3001,3796,1,0,4,52.2,"B,C,W"
3596,3286,3287,3795,0,0,2,66.6,"B,C,W"
3580,3267,3269,3779,1,0,3,55.8,"B,C,W"
3548,3212,3236,9829,0,0,4,53.3,"B,C,W"
3342,3002,3003,9817,0,0,3,55.5,"B,C,W"
3341,3001,3002,3522,0,0,3,50.1,"B,C,W"
3340,2417,3000,9816,0,0,3,57.1,"B,C,W"
3302,2198,2197,3483,0,1,1,68.4,"B,C,W"
3301,2196,2197,3482,1,0,4,54.8,"B,C,W"
3300,2198,2196,3481,1,0,3,55,"B,C,W"
3299,2197,652,3480,0,1,1,66.3,"B,C,W"
3298,2198,1702,3479,0,1,1,80.9,"B,C,W"
3297,2976,2844,9810,0,0,4,54,"B,C,W"
3296,1272,2975,3477,0,0,5,36.8,"B,C,W"
3295,2172,2190,3476,1,0,5,30,"B,C,W"
3294,1953,2172,3475,0,0,5,40.85,"B,C,W"
3293,1338,2975,3474,0,0,4,45.6,"B,C,W"
3261,470,2264,3435,0,0,3,58.3,"B,C,W"
3258,759,1143,3432,0,0,5,41.85,"B,C,W"
3188,2813,2111,3355,1,0,5,38.2,"B,C,W"
3179,2936,1952,9801,0,0,5,44.4,"B,C,W"
3178,1665,2188,3343,0,0,4,45.55,"B,C,W"
3159,2927,2759,3315,0,1,1,86.6,"B,C,W"
3158,2762,2927,3314,0,1,1,89.3,"B,C,W"
3157,2926,2762,3313,0,1,1,89.6,"B,C,W"
3097,2896,2897,15040,0,0,4,47.8,"B,C,W"
3071,2515,2118,3216,0,0,4,49.2,"B,C,W"
3068,2111,909,3212,1,0,5,38.6,"B,C,W"
3067,909,1845,3211,1,0,4,52,"B,C,W"
3059,2504,2146,3203,0,0,5,33.8,"B,C,W"
3058,2504,936,3202,0,0,5,32,"B,C,W"
3047,1953,1601,3191,0,0,5,36.35,"B,C,W"
3046,1953,758,3190,0,0,5,37.1,"B,C,W"
3017,2852,2853,3158,0,0,4,53.9,"B,C,W"
2991,2844,2514,3130,0,0,5,36,"B,C,W"
2990,2844,2118,3129,0,0,4,45.3,"B,C,W"
2917,1701,2825,3051,0,0,4,50.1,"B,C,W"
2916,1701,56,3050,1,0,4,45.7,"B,C,W"
2897,2564,2813,3030,1,0,5,41.6,"B,C,W"
2896,1272,2813,3029,1,0,4,47,"B,C,W"
2895,1601,2190,3028,0,0,5,33.3,"B,C,W"
2830,2790,2791,9781,0,0,5,40.2,"B,C,W"
2784,2763,2697,2911,0,0,5,37.95,"B,C,W"
2783,2697,120,2910,0,0,5,39.45,"B,C,W"
2782,2697,590,2909,0,0,5,44.4,"B,C,W"
2779,2760,2762,2906,1,0,3,63,"B,C,W"
2778,2760,2761,2905,0,0,3,57.4,"B,C,W"
2777,2759,2760,2904,1,0,3,61.3,"B,C,W"
2775,2758,1206,9777,0,0,5,32.6,"B,C,W"
2774,2757,1338,9776,0,0,5,42.75,"B,C,W"
2773,2756,716,2900,0,0,5,38.6,"B,C,W"
2762,2516,653,2889,1,0,3,56.7,"B,C,W"
2736,1082,2188,2863,0,0,4,45.9,"B,C,W"
2717,2725,2726,9766,0,0,4,46.7,"B,C,W"
2678,120,1919,2801,0,0,5,38.3,"B,C,W"
2677,120,2383,2800,0,0,5,44.8,"B,C,W"
2663,119,2697,2786,0,0,5,38.7,"B,C,W"
2662,119,2516,2785,0,0,5,44,"B,C,W"
2641,927,1803,2764,0,0,3,64.1,"B,C,W"
2630,2454,1504,2753,0,0,3,56.2,"B,C,W"
2528,285,1446,2646,0,1,1,81.3,"B,C,W"
2396,2564,1599,2506,1,0,4,52.2,"B,C,W"
2395,1951,2564,2505,1,0,5,43.1,"B,C,W"
2380,1505,2515,2490,0,0,3,58.6,"B,C,W"
2373,1612,1919,2483,1,0,5,44.6,"B,C,W"
2372,1919,1613,2482,1,0,5,39.1,"B,C,W"
2365,1110,1506,2475,0,0,5,40.2,"B,C,W"
2364,1110,2454,2474,0,0,5,32.5,"B,C,W"
2331,1613,2530,2431,0,0,5,38.7,"B,C,W"
2330,1613,2529,2430,0,0,5,44.7,"B,C,W"
2324,2522,2148,9735,0,0,5,44.4,"B,C,W"
2323,2520,2521,9734,0,0,5,36,"B,C,W"
2322,926,2519,2422,0,0,4,54,"B,C,W"
2316,926,2516,2416,1,0,4,47.4,"B,C,W"
2312,2514,2515,2412,0,0,5,37.1,"B,C,W"
2311,2514,1763,2411,0,0,5,35.1,"B,C,W"
2290,165,2504,2390,0,0,5,34.25,"B,C,W"
2248,1612,2384,2344,0,0,5,43.6,"B,C,W"
2247,1612,2479,2343,0,0,4,50.6,"B,C,W"
2210,2453,2454,2303,0,0,5,44,"B,C,W"
2188,2435,2436,9719,0,0,5,34.9,"B,C,W"
2182,1285,1336,2273,0,0,4,45.6,"B,C,W"
2181,1285,1219,2272,0,0,5,38.2,"B,C,W"
2164,2416,2419,9716,0,0,5,30.35,"B,C,W"
2163,2418,1695,9715,0,0,5,34.15,"B,C,W"
2162,2416,2417,2252,0,0,5,39.85,"B,C,W"
2134,2119,2402,9713,0,0,5,44.9,"B,C,W"
2133,2401,1695,9712,0,0,5,33.4,"B,C,W"
2110,2383,2384,2200,1,0,4,48.1,"B,C,W"
2109,590,2383,2199,1,0,4,47.4,"B,C,W"
1988,2304,1207,9703,0,0,5,30,"B,C,W"
1987,1356,2303,2072,1,0,4,46.8,"B,C,W"
1980,252,2298,9702,0,0,4,46.9,"B,C,W"
1935,2264,1479,2017,0,0,5,37.3,"B,C,W"
1883,2223,2224,9691,0,0,5,31.45,"B,C,W"
1865,1063,2208,7155,0,0,4,48.3,"B,C,W"
1864,1063,2207,9690,0,0,5,43.35,"B,C,W"
1849,1189,2198,1927,1,0,4,52.5,"B,C,W"
1848,2197,1189,1926,1,0,3,58.1,"B,C,W"
1847,2196,654,1925,0,1,1,92,"B,C,W"
1841,2188,2190,1919,0,0,5,34.6,"B,C,W"
1840,2188,2189,15936,0,0,4,45.4,"B,C,W"
1814,2172,2173,15935,0,0,4,48.5,"B,C,W"
1808,1763,164,1885,0,0,3,59.4,"B,C,W"
1780,2148,2149,9684,0,0,5,44.8,"B,C,W"
1775,2146,937,1851,0,0,5,33.45,"B,C,W"
1774,2146,1601,1850,0,0,5,37.85,"B,C,W"
1773,2146,923,1849,0,0,5,38.5,"B,C,W"
1765,1337,2140,9683,0,0,5,44.7,"B,C,W"
1764,1337,1062,1840,0,0,5,38.2,"B,C,W"
1744,2118,2119,1820,0,0,5,44.4,"B,C,W"
1731,2111,1338,1807,0,0,4,45.4,"B,C,W"
1641,1062,2025,9676,0,0,5,38,"B,C,W"
1640,1062,1356,1714,0,0,5,33.5,"B,C,W"
1555,1952,1953,1628,0,0,5,38.9,"B,C,W"
1554,910,1951,1627,1,0,4,53.8,"B,C,W"
1551,654,1702,1624,1,0,3,63.5,"B,C,W"
1522,1918,1920,9662,0,0,5,36.45,"B,C,W"
1521,1918,118,1590,0,0,5,39.15,"B,C,W"
1520,1918,1919,1589,0,0,5,38.25,"B,C,W"
1469,1864,1865,1534,1,0,4,45.9,"B,C,W"
1444,1845,1271,1508,0,0,2,69.1,"B,C,W"
1436,1611,1835,1500,0,0,5,43.5,"B,C,W"
1402,1803,1190,1465,0,0,3,64.1,"B,C,W"
1401,1803,1219,1464,0,0,5,43.05,"B,C,W"
1381,1018,903,1444,0,0,5,32.8,"B,C,W"
1380,1018,916,1443,0,0,5,30.4,"B,C,W"
1345,924,1763,1406,0,0,3,58,"B,C,W"
1280,1702,1188,1335,1,0,3,63,"B,C,W"
1279,55,1701,1333,0,0,4,53.9,"B,C,W"
1274,1693,1696,1327,0,0,5,31.8,"B,C,W"
1273,1693,1695,1326,0,0,5,38,"B,C,W"
1272,1693,1694,1325,0,0,5,36,"B,C,W"
1234,1665,251,1287,0,0,5,42.5,"B,C,W"
1180,1614,1615,1231,0,0,4,46.2,"B,C,W"
1179,1613,1611,1230,1,0,5,44,"B,C,W"
1178,1611,1612,1229,1,0,5,39.3,"B,C,W"
1165,1600,1601,9632,0,0,5,40.9,"B,C,W"
1164,1598,923,1215,0,0,5,39.5,"B,C,W"
1163,1598,1599,1214,0,0,5,44.6,"B,C,W"
1130,1561,1562,9623,0,0,5,30.6,"B,C,W"
1082,166,1506,1128,0,0,3,61.3,"B,C,W"
1081,1504,1505,1127,0,0,3,64.2,"B,C,W"
1033,1445,1446,12956,1,0,3,55.8,"B,C,W"
996,1407,926,1036,1,0,4,51.5,"B,C,W"
949,716,1356,987,0,0,5,41.7,"B,C,W"
942,1350,903,9603,0,0,4,48.8,"B,C,W"
927,1336,1338,964,0,0,4,45.8,"B,C,W"
926,1336,1337,963,0,0,5,43.9,"B,C,W"
909,1319,1063,946,0,0,5,41.6,"B,C,W"
908,1319,785,945,0,0,5,41.1,"B,C,W"
904,1313,1314,9601,0,0,4,52.05,"B,C,W"
884,1190,1285,919,0,0,4,46.1,"B,C,W"
880,1280,1281,915,0,1,1,81.2,"B,C,W"
871,1271,1272,906,1,0,4,50.9,"B,C,W"
829,1219,1220,862,0,0,5,41,"B,C,W"
818,1206,1207,851,0,0,5,30,"B,C,W"
806,1142,1190,839,0,0,5,40.8,"B,C,W"
804,1188,652,837,1,0,3,63.4,"B,C,W"
803,1188,1189,836,0,1,1,92.5,"B,C,W"
768,1143,1144,800,0,0,5,38.9,"B,C,W"
767,759,1142,799,0,0,5,38.3,"B,C,W"
737,1111,1112,9590,0,0,4,53.3,"B,C,W"
736,1109,1110,766,0,0,5,30,"B,C,W"
735,1107,1108,765,0,0,4,45.6,"B,C,W"
713,937,1082,738,0,0,5,34,"B,C,W"
698,786,1063,723,0,0,4,45.1,"B,C,W"
697,786,1062,722,0,0,4,46.6,"B,C,W"
665,917,1019,690,0,0,5,34.05,"B,C,W"
664,917,1018,689,0,0,5,30,"B,C,W"
601,936,252,625,0,0,5,36.9,"B,C,W"
600,936,937,624,0,0,5,30,"B,C,W"
593,653,927,617,0,0,2,69.9,"B,C,W"
592,925,926,616,1,0,4,47.5,"B,C,W"
591,923,924,615,0,0,5,41.4,"B,C,W"
590,923,165,614,0,0,5,39.95,"B,C,W"
585,916,917,609,0,0,5,34.1,"B,C,W"
584,916,251,608,0,0,5,37.5,"B,C,W"
580,909,910,604,1,0,5,43.8,"B,C,W"
577,903,904,9581,0,0,4,48.5,"B,C,W"
531,834,835,9575,0,0,5,39.15,"B,C,W"
497,785,786,521,0,0,4,48,"B,C,W"
478,758,759,501,0,0,5,38.95,"B,C,W"
448,715,716,9572,0,0,5,31.2,"B,C,W"
447,713,714,9571,0,0,5,30,"B,C,W"
404,652,654,424,1,0,3,61.7,"B,C,W"
403,652,653,423,0,0,2,65.6,"B,C,W"
365,589,590,382,1,0,4,45.8,"B,C,W"
278,56,450,13099,0,0,5,42.1,"B,C,W"
175,286,287,12955,0,1,1,81.8,"B,C,W"
174,284,285,183,0,1,1,77.7,"B,C,W"
154,251,252,162,0,0,5,37.4,"B,C,W"
101,164,166,105,0,0,3,60.4,"B,C,W"
100,164,165,104,0,0,5,42.4,"B,C,W"
72,118,120,75,0,0,5,40.9,"B,C,W"
71,118,119,74,0,0,5,32.1,"B,C,W"
33,56,54,33,1,0,5,43.2,"B,C,W"
32,54,55,32,0,0,4,51.45,"B,C,W"
